P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is,PI_Set,PI_Process,delta_h,delta_his,delta_s,eta_is,Q_v,lambda,eta_is_alternative,uc_t1,uc_t2,uc_h1,uc_h2,uc_s1,uc_PI,uc_eta_is,uc_eta_is_alternative,M,t_crit,p_crit,rho_crit,T_Evaps,T_Conds
12,12.0404631533333,42,42.08855806,23.3439999999997,23.7909363566667,104.380690231667,NaN,0.989979890783628,NaN,32.45278799,400,399.991418731666,25,32.898194145,9.01802498333333,64.8255510433333,49.9999055483334,402.033346998334,399.228754608333,398.725577473333,7650.56048583834,13.688104135,13.08845504,75.0501190366666,129.082092103333,47.1517032699999,23.9275594716667,129.165900216667,121.402724633333,103.13924465,1.61333283,504.931341818332,438.150437358112,1.89703651316765,0.0231193842907685,1.13750871582489,13.5720425919392,487.897042215716,1.93342955598148,0.00760781527523786,1.36906681454799,64.2685571608084,474.334690836169,94.8034303131559,0.00705907252301639,1.47163368920541,3.5,3.49571859882314,49.7466048576047,36.1842534780568,0.0363930428138272,0.727377859788776,6421.26754876636,0.889419850769375,0.914789592842087,0.28900185326122,0.29489855265128,1.26483136477129,1.40843744330033,0.00112636854776679,0.00653888219396339,0.0350690481007173,0.00653084494486404,72.585,71.34,49.011,459.08,13.573387565532,64.2694915797825
7,6.96533190666667,28,28.1713184933333,5.85260000000006,5.47578236666666,94.4031966033333,NaN,0.985200202564398,NaN,28.61505804,400,400.01320543,25,29.5955247016667,8.92504313333334,44.5735193233333,49.9766086966667,401.839696166666,399.391086748333,398.793237656667,5237.13865562501,10.7792517233333,10.2923101816667,42.6521332533332,74.2879828883334,28.571456385,5.28401875166667,74.3944013583334,77.0774480199999,92.8904243216668,0.351774385674316,622.234687101667,431.342842817729,1.92640528867884,0.0399331959251579,1.01149693424132,-4.19826899875719,492.72958053012,1.98221239818443,0.0121675145794195,1.18317782687526,46.3955654758922,472.68472438883,77.9684052965325,0.0110102076387807,1.26667300673114,4,4.04459632876382,61.3867377123909,41.3418815711007,0.0558071095055872,0.67347110782366,4560.11274782734,0.884087393067309,0.844377957653399,0.28869245469167,0.29377543128639,1.24517953206917,1.42238777978378,0.00115868176085557,0.0129522023534842,0.0279556288485144,0.00591996347705858,72.585,71.34,49.011,459.08,-4.19704352998997,46.3967041244827
8,7.958431815,32,31.980881075,9.97350000000004,9.72957949,99.2539933499999,NaN,0.994810312887033,NaN,29.60115478,NaN,400.404946455,NaN,29.9231216383334,9.14653796833334,51.8548568666667,50.0057616999999,401.968643621667,399.95079905,399.291066881667,5892.01770508667,11.4602955483333,10.9521166016667,45.36808736,84.7527092366666,32.1572081950001,10.2054437433333,84.851029705,88.3247515633333,97.5898666016665,0.394345284103195,659.512699789999,433.08815386286,1.91939687289831,0.0350209738432771,1.03735554939119,-0.0869691028507708,493.924712076961,1.97372899109862,0.0106417484496228,1.22267256862476,51.8882112037554,474.124897756388,83.5955519447653,0.00962425746984325,1.31777128963263,4,4.01849241689382,60.8365582141007,41.0367438935272,0.0543321182003046,0.674544134763797,5156.0572863469,0.884682286663885,0.857659848721902,0.288729789097364,0.294307873761838,1.2502178110778,1.42583782738521,0.00113690124052766,0.0112656059489706,0.0282988873707153,0.00594199852453443,72.585,71.34,49.011,459.08,-0.0869446390438497,51.8882341514954
9,9.01513454666667,36,36.3638293566666,13.7200000000001,13.5570138583333,103.475985905,NaN,0.985688556830088,NaN,30.883340885,400,400.019906715,25,31.5414035033333,8.81723566666667,56.1758919416667,49.9981117683335,401.781612278334,399.59815954,398.659135011666,6637.749544285,12.32923315,11.87774103,57.2134451216667,95.92659769,36.0479591866666,13.6907274366667,96.07385021,101.726287551667,102.078179006667,0.557084544102351,502.379923534999,434.394817013994,1.91178946286088,0.0308952185267109,1.06586938058793,3.8801527692425,493.873257073955,1.96200001913944,0.00922988622721956,1.27211331543464,57.6002677381307,475.322658612158,89.406888185725,0.00838117825658338,1.37666583782904,4,4.03369789296736,59.4784400599607,40.9278415981644,0.0502105562785581,0.688127922978705,5705.38948875671,0.883310330917017,0.878770942722331,0.28878123236968,0.294792203070586,1.25398982268804,1.42568928958603,0.001127722770425,0.00998109567707461,0.0291130051885565,0.00600110680201592,72.585,71.34,49.011,459.08,3.88068520866699,57.600665979231
10,9.91959253833334,40,39.4972338766666,17.165001,17.2136243366667,107.51846104,NaN,0.985166431566079,NaN,32.0461322283333,400,400.01016995,25,32.7793230616667,9.05863534,60.6618373666666,49.9984655166667,402.095286001667,399.442488766667,398.557055598333,7203.34733154834,13.059504355,12.5900106866667,63.3360600999999,104.828542248333,39.18466472,17.5056178833333,104.92054207,110.484642436666,106.368926935,0.749005288879077,498.512374983333,436.050344770942,1.90828518844807,0.0281569203905116,1.08495110986843,7.00617525510352,495.29943315005,1.95844713380842,0.00847806811731571,1.30058210831487,61.3511332133367,476.559166022955,93.6460037604765,0.00768498323755958,1.41380333108102,4,3.98188291674575,59.2490883791084,40.5088212520138,0.0501619453603456,0.683731088675905,6210.66563507491,0.879730288434413,0.883833905140168,0.288846195822896,0.295274058442645,1.25876891966866,1.42980630529325,0.00111713224012066,0.00896154319594414,0.0292687179153748,0.00600323851394413,72.585,71.34,49.011,459.08,7.00678932437114,61.3512550266255
11,11.05561075,44,43.774648185,20.3600009999997,20.2693729616667,111.165137495,NaN,0.984233647485574,NaN,33.06939425,400,400.004862471667,25,33.90051232,9.08166810499999,66.323769165,50.0037517283335,401.979672818334,399.474252323333,398.529451548334,7981.78702393501,14.0486649233333,13.5339228116667,71.1995054700001,116.773013325,43.3511844800001,20.4717173433333,116.920065815,124.00854102,110.048912526667,0.99160246538379,494.034886261666,436.594528601897,1.89980086959044,0.0251258785134509,1.11807174367845,10.6421604573092,495.015773781198,1.94876151903083,0.00754950372109016,1.34831715301482,66.0860672326467,476.528125934913,98.0100729519104,0.00683664670791703,1.4763022722113,4,3.95958378133812,58.4212451793005,39.9335973330163,0.0489606494403902,0.68356454786803,6821.85081920556,0.87449646102612,0.896524293617936,0.288912259672571,0.295723825254511,1.26033984307511,1.42898745122843,0.00112707624709715,0.00799806637921834,0.0296765009150469,0.00602699671692047,72.585,71.34,49.011,459.08,10.6425115867069,66.0861087008568
5,5.019567855,22.5,22.7504636766666,-3.95800000000004,-4.15164123666666,90.67526383,NaN,0.990011442402999,NaN,28.0354766333333,400,399.986167844999,25,29.6747964883334,9.12254565999999,36.1414426433333,50.0047325366666,401.502695071667,399.469763086667,398.996489106667,4291.07295085834,9.77512116,9.27331448833333,33.019997395,53.4600491083332,21.7185994783333,-6.094614055,53.58500418,61.074981645,88.5859865200001,0.304273921311912,649.003247573333,427.244385436206,1.94460064650669,0.0549946798191315,0.954998523887918,-13.7539758139491,494.988429473675,2.00872408038756,0.0155089327509468,1.11677836832723,37.4952368464064,472.305861556533,70.8561527790944,0.0139294760415037,1.18208509889953,4.5,4.53237747695195,67.7440440374693,45.0614761203275,0.0641234338808658,0.665211035205333,3621.44612727744,0.876273129952285,0.814527280537547,0.288685136827017,0.293383833724629,1.23334830470675,1.42890851501188,0.0012393261542537,0.0200199877844237,0.0252822709702959,0.00560752047190789,72.585,71.34,49.011,459.08,-13.7537307870824,37.4954884988497
6,6.04147165333334,27,27.0469046916667,1.25970982333332,1.33581596946922,98.3641859566667,NaN,0.990086918274562,NaN,28.87898233,400,399.97752729,25,30.17524603,9.12633480166667,44.2648367833334,50.0090101916666,401.51749061,399.38658942,399.02545281,5015.48222981167,10.5173332233333,9.97486968666668,33.9378775316667,63.713074885,25.2952687016667,1.13560326076523,63.8081980216667,72.8082929283333,96.0435605449999,0.339508342542135,686.54339344,429.708343294719,1.93478835291914,0.0459506436821749,0.984803591136513,-8.44104039386472,498.695547986556,2.00219098232742,0.0130656567503986,1.15573943993578,44.6658581763904,474.357442439827,77.9360797569844,0.0116241831505592,1.23985371062764,4.5,4.47698483919352,68.9872046918372,44.6490991451082,0.0674026294082783,0.647227601929975,4395.23924212515,0.872601226360868,0.818630482860192,0.288676232095905,0.294208285407166,1.24046113837117,1.43961004436853,0.00118619667646938,0.0164402858892475,0.0248337700226556,0.00554358027973974,72.585,71.34,49.011,459.08,-8.44070506548127,44.6658925114263
7,7.01555151166667,31.5,31.3641749016666,5.85260904333339,5.56472638666667,103.330161761667,NaN,0.989164276222388,NaN,29.8488517483333,400,400.00311632,25,31.1051103083333,9.03177502,51.0064073483333,49.9917426283333,401.717345391666,399.409149573333,398.893025068334,5739.73922042501,11.318930835,10.7982480666667,38.8907685566667,73.815548415,28.57179778,5.82810581333333,73.9267390783334,84.9355840266668,101.68019919,0.483784083199609,634.6157618,431.299432822403,1.92552708127582,0.0396159823307516,1.01362481619995,-3.97904362556951,499.584199763146,1.99063918431548,0.0111583278776607,1.19865974650471,51.0351048137457,475.710719971306,84.0981226857451,0.00992245426340307,1.2983179588334,4.5,4.4706908543132,68.2847669407433,44.4112871489033,0.0651121030396597,0.650392711128991,5040.47313755022,0.871605734067163,0.837167271541999,0.288693042492772,0.294775170710435,1.24505421820674,1.44217536108068,0.00115931437225433,0.0141381601077454,0.0251751660841673,0.00558414739072611,72.585,71.34,49.011,459.08,-3.97889554907533,51.0352640343741
8,7.98458626833333,36,35.89061551,9.97350801500004,9.64514999333334,108.759074645,NaN,0.988406557738781,NaN,30.9938614633333,400,399.997142488333,25,32.1068360283333,9.10047136333333,57.25043063,49.9882887250001,401.671668656667,399.338864986667,398.96643654,6525.76866132167,12.2646904316667,11.6696762883333,44.5748280716666,83.6004824299999,31.8643690233333,10.1893942266667,83.77873806,97.8301508383333,107.38519528,0.351767305873632,591.222993943334,432.93260200765,1.91852600024487,0.0348682059773855,1.0392734233703,0.0153590742126732,501.061580020087,1.98213345706231,0.00968609625475139,1.24059621543786,57.0111711926927,477.366824132369,90.3892298631869,0.00860297499500124,1.35493635728459,4.5,4.49509478582561,68.1289780124368,44.4342221247194,0.0636074568174419,0.652216897668968,5695.65654918051,0.868809851373965,0.852757788544255,0.288728884564574,0.295425485613969,1.24976877155041,1.44644019052588,0.00113924663464963,0.0124875426688742,0.025329829515815,0.00559657500932359,72.585,71.34,49.011,459.08,0.0159251459914458,57.0114312215254
