REPORT START/STOP
Start Time,27/05/2021,11:44:24
End Time,27/05/2021,14:08:27

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;11:46:03,?,6.01843,?,23.389051,400,400.161865,25,28.519745
27/05/2021;11:46:04,?,6.01843,?,23.310703,400,400.178436,25,28.529747
27/05/2021;11:46:05,?,6.041481,?,23.242859,400,400.157928,25,28.552273
27/05/2021;11:46:06,?,6.095261,?,23.185732,400,400.23642,25,28.57213
27/05/2021;11:46:07,?,6.118943,?,23.129681,400,400.259369,25,28.595314
27/05/2021;11:46:08,?,6.103279,?,23.129681,400,400.259369,25,28.595314
27/05/2021;11:46:09,?,6.065365,?,23.104355,400,400.290833,25,28.615217
27/05/2021;11:46:10,?,6.027382,?,23.079687,400,400.294617,25,28.63209
27/05/2021;11:46:11,?,5.999955,?,23.074064,400,400.296631,25,28.656147
27/05/2021;11:46:12,?,5.986907,?,23.082901,400,400.311768,25,28.680138
27/05/2021;11:46:13,?,5.97718,?,23.090759,400,400.33667,25,28.700661
27/05/2021;11:46:14,?,5.965766,?,23.093943,400,400.379852,25,28.713196
27/05/2021;11:46:15,?,5.959962,?,23.121885,400,400.433685,25,28.723114
27/05/2021;11:46:16,?,5.939897,?,23.159317,400,400.350616,25,28.733339
27/05/2021;11:46:17,?,5.885545,?,23.20207,400,400.251831,25,28.742588
27/05/2021;11:46:18,?,5.793712,?,23.245459,400,400.210632,25,28.753647
27/05/2021;11:46:19,?,5.696358,?,23.28647,400,400.325714,25,28.767971
27/05/2021;11:46:20,?,5.634952,?,23.347811,400,400.293945,25,28.780619
27/05/2021;11:46:21,?,5.634952,?,23.419226,400,400.318817,25,28.784859
27/05/2021;11:46:22,?,5.599254,?,23.458904,400,400.390686,25,28.785044
27/05/2021;11:46:23,?,5.588778,?,23.533264,400,400.419708,25,28.786877
27/05/2021;11:46:24,?,5.593231,?,23.533264,400,400.419708,25,28.786877
27/05/2021;11:46:25,?,5.595968,?,23.629232,400,400.403259,25,28.794462
27/05/2021;11:46:26,?,5.604557,?,23.711355,400,400.394318,25,28.805817
27/05/2021;11:46:27,?,5.621391,?,23.786842,400,399.86618,25,28.818573
27/05/2021;11:46:28,?,5.637874,?,23.879984,400,399.279358,25,28.835131
27/05/2021;11:46:29,?,5.648182,?,23.995962,400,399.051331,25,28.842197
27/05/2021;11:46:30,?,5.651386,?,24.100763,400,399.079163,25,28.848989
27/05/2021;11:46:31,?,5.657649,?,24.214159,400,399.149719,25,28.868813
27/05/2021;11:46:32,?,5.662668,?,24.324041,400,399.115356,25,28.882683
27/05/2021;11:46:33,?,5.661594,?,24.426455,400,399.024628,25,28.885746
27/05/2021;11:46:34,?,5.662498,?,24.540592,400,399.006226,25,28.896326
27/05/2021;11:46:35,?,5.671229,?,24.643661,400,398.990723,25,28.907618
27/05/2021;11:46:36,?,5.684732,?,24.773558,400,399.024017,25,28.913136
27/05/2021;11:46:37,?,5.684732,?,24.910566,400,399.118408,25,28.916899
27/05/2021;11:46:38,?,5.718579,?,25.045202,400,399.280304,25,28.927818
27/05/2021;11:46:39,?,5.718579,?,25.155142,400,399.345093,25,28.949932
27/05/2021;11:46:40,?,5.755685,?,25.155142,400,399.345093,25,28.949932
27/05/2021;11:46:41,?,5.773978,?,25.304562,400,399.262268,25,28.975113
27/05/2021;11:46:42,?,5.773978,?,25.456385,400,399.673584,25,28.992281
27/05/2021;11:46:43,?,5.792351,?,25.605593,400,399.990936,25,29.009176
27/05/2021;11:46:44,?,5.809907,?,25.73675,400,400.121948,25,29.028259
27/05/2021;11:46:45,?,5.831038,?,25.886799,400,400.239746,25,29.044258
27/05/2021;11:46:46,?,5.852137,?,26.008984,400,400.299438,25,29.059774
27/05/2021;11:46:47,?,5.870905,?,26.152975,400,400.293396,25,29.070236
27/05/2021;11:46:48,?,5.889301,?,26.308157,400,400.228027,25,29.084261
27/05/2021;11:46:49,?,5.908929,?,26.458586,400,400.164764,25,29.108734
27/05/2021;11:46:50,?,5.927519,?,26.619694,400,400.100403,25,29.127506
27/05/2021;11:46:51,?,5.944823,?,26.76395,400,400.084778,25,29.134989
27/05/2021;11:46:52,?,5.966595,?,26.927313,400,400.13974,25,29.149639
27/05/2021;11:46:53,?,5.990202,?,27.060661,400,400.181152,25,29.164513
27/05/2021;11:46:54,?,6.018299,?,27.216125,400,400.160309,25,29.178377
27/05/2021;11:46:55,?,6.043947,?,27.216125,400,400.160309,25,29.178377
27/05/2021;11:46:56,?,6.067852,?,27.360394,400,400.023621,25,29.190073
27/05/2021;11:46:57,?,6.092388,?,27.51487,400,399.928986,25,29.209511
27/05/2021;11:46:58,?,6.119129,?,27.666357,400,399.92276,25,29.232775
27/05/2021;11:46:59,?,6.146441,?,27.810986,400,399.918793,25,29.262123
27/05/2021;11:47:00,?,6.146441,?,27.987253,400,399.85022,25,29.292772
27/05/2021;11:47:01,?,6.174735,?,28.146833,400,399.756561,25,29.316074
27/05/2021;11:47:02,?,6.202516,?,28.291851,400,399.724304,25,29.32629
27/05/2021;11:47:03,?,6.228886,?,28.450361,400,399.689209,25,29.323645
27/05/2021;11:47:04,?,6.259509,?,28.599018,400,399.766479,25,29.328411
27/05/2021;11:47:05,?,6.288229,?,28.748142,400,399.841949,25,29.346897
27/05/2021;11:47:06,?,6.315105,?,28.890911,400,399.914368,25,29.371193
27/05/2021;11:47:07,?,6.344843,?,29.040548,400,399.885925,25,29.393185
27/05/2021;11:47:08,?,6.37441,?,29.191124,400,399.810638,25,29.405239
27/05/2021;11:47:09,?,6.409436,?,29.332436,400,399.864777,25,29.409662
27/05/2021;11:47:10,?,6.440464,?,29.332436,400,399.864777,25,29.409662
