REPORT START/STOP
Start Time,20/05/2021,12:23:27
End Time,20/05/2021,13:52:20

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
20/05/2021;12:25:20,?,5.87154,?,25.397718,400,400.158203,25,28.812885
20/05/2021;12:25:21,?,5.869835,?,25.397718,400,400.158203,25,28.812885
20/05/2021;12:25:22,?,5.871593,?,25.391893,400,400.12149,25,28.818867
20/05/2021;12:25:23,?,5.871593,?,25.383226,400,400.06897,25,28.824379
20/05/2021;12:25:24,?,5.872651,?,25.368792,400,400.064484,25,28.824417
20/05/2021;12:25:25,?,5.876991,?,25.365047,400,400.086334,25,28.819771
20/05/2021;12:25:26,?,5.883124,?,25.361095,400,400.085999,25,28.830139
20/05/2021;12:25:27,?,5.890551,?,25.350323,400,400.111298,25,28.839104
20/05/2021;12:25:28,?,5.895532,?,25.360748,400,400.167419,25,28.841625
20/05/2021;12:25:29,?,5.900667,?,25.355494,400,400.210022,25,28.847214
20/05/2021;12:25:30,?,5.906004,?,25.350321,400,400.257843,25,28.853643
20/05/2021;12:25:31,?,5.909413,?,25.349255,400,400.240417,25,28.851439
20/05/2021;12:25:32,?,5.910807,?,25.326456,400,400.195129,25,28.84477
20/05/2021;12:25:33,?,5.912848,?,25.335865,400,400.199097,25,28.845274
20/05/2021;12:25:34,?,5.912848,?,25.350996,400,400.163544,25,28.850435
20/05/2021;12:25:35,?,5.913461,?,25.350855,400,400.183319,25,28.850574
20/05/2021;12:25:36,?,5.914384,?,25.344543,400,400.157776,25,28.852558
20/05/2021;12:25:37,?,5.914475,?,25.344543,400,400.157776,25,28.852558
20/05/2021;12:25:38,?,5.914459,?,25.349976,400,400.180237,25,28.856003
20/05/2021;12:25:39,?,5.918821,?,25.355202,400,400.186218,25,28.866867
20/05/2021;12:25:40,?,5.920718,?,25.362471,400,400.117249,25,28.876244
20/05/2021;12:25:41,?,5.91808,?,25.373384,400,400.112976,25,28.878521
20/05/2021;12:25:42,?,5.916433,?,25.384542,400,400.150787,25,28.880276
20/05/2021;12:25:43,?,5.912881,?,25.377754,400,400.168182,25,28.884413
20/05/2021;12:25:44,?,5.909868,?,25.371912,400,400.148804,25,28.889502
20/05/2021;12:25:45,?,5.902449,?,25.378323,400,400.174835,25,28.895531
20/05/2021;12:25:46,?,5.893913,?,25.375107,400,400.166626,25,28.896072
20/05/2021;12:25:47,?,5.885251,?,25.361506,400,400.074127,25,28.896374
20/05/2021;12:25:48,?,5.879179,?,25.36595,400,400.099335,25,28.895073
20/05/2021;12:25:49,?,5.873892,?,25.374325,400,400.144196,25,28.894562
20/05/2021;12:25:50,?,5.866704,?,25.373922,400,400.162567,25,28.892397
20/05/2021;12:25:51,?,5.866704,?,25.382248,400,400.16864,25,28.889174
20/05/2021;12:25:52,?,5.85457,?,25.378279,400,400.080658,25,28.885628
20/05/2021;12:25:53,?,5.843336,?,25.381264,400,400.111633,25,28.882065
20/05/2021;12:25:54,?,5.832981,?,25.381264,400,400.111633,25,28.882065
20/05/2021;12:25:55,?,5.825509,?,25.373232,400,400.173645,25,28.887175
20/05/2021;12:25:56,?,5.81591,?,25.362841,400,400.179657,25,28.891182
20/05/2021;12:25:57,?,5.801795,?,25.367542,400,400.20105,25,28.884989
20/05/2021;12:25:58,?,5.789196,?,25.374594,400,400.266022,25,28.879818
20/05/2021;12:25:59,?,5.775096,?,25.361732,400,400.273254,25,28.881485
20/05/2021;12:26:00,?,5.760784,?,25.360453,400,400.176971,25,28.880747
20/05/2021;12:26:01,?,5.744888,?,25.362572,400,400.219055,25,28.869839
20/05/2021;12:26:02,?,5.730757,?,25.363758,400,400.240021,25,28.858366
20/05/2021;12:26:03,?,5.718685,?,25.365376,400,400.225098,25,28.865101
20/05/2021;12:26:04,?,5.707191,?,25.364948,400,400.148621,25,28.882877
20/05/2021;12:26:05,?,5.707191,?,25.374826,400,400.1409,25,28.89555
20/05/2021;12:26:06,?,5.697514,?,25.372299,400,400.163544,25,28.896185
20/05/2021;12:26:07,?,5.689577,?,25.372299,400,400.163544,25,28.896185
20/05/2021;12:26:08,?,5.682332,?,25.37207,400,400.18866,25,28.891048
20/05/2021;12:26:09,?,5.675736,?,25.380957,400,400.150269,25,28.895348
20/05/2021;12:26:10,?,5.671752,?,25.378304,400,399.742126,25,28.894903
