P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is,PI_Set,PI_Process,delta_h,delta_his,delta_s,eta_is,Q_v,lambda,eta_is_alternative,uc_t1,uc_t2,uc_h1,uc_h2,uc_s1,uc_PI,uc_eta_is,uc_eta_is_alternative,M,t_crit,p_crit,rho_crit
11,11.0143669683333,33,32.9748922483334,19.7900009999999,19.592228335,107.552481716667,NaN,1.00345315833333,NaN,30.7446015,400,399.980592803333,25,31.0012041483333,9.20519498333334,52.25531301,50.0121510416666,401.921582743334,399.064801215,398.916024571666,6355.017085785,12.0803689216667,11.476258605,60.7690331783333,82.8540122533333,31.2613223883334,19.86879331,83.0220281366665,61.3697670383333,105.349455478333,0.583941528648138,459.143546098333,529.164455609934,2.16255372152185,0.0355963429242071,1.21838684293088,9.83312541580264,594.888590224629,2.21316790694852,0.015139827064476,1.29431503076972,52.1169299716667,575.985636338348,93.3210060353425,0.0140009548732703,1.36919212026954,3,2.99383755263111,65.7241346146952,46.8211807284145,0.0506141854266662,0.71240009963214,5445.49234662972,0.879060569454118,0.862470302065873,0.288896781151779,0.29527818638776,1.52756620445988,1.71729543852013,0.00124777515017713,0.00620473556421494,0.0321128067661796,0.00600611604411312,52.024,78.11,57.82,424
12,11.9086944033333,36,35.9261072983333,22.7450009999998,22.4672054866666,111.253583708333,NaN,1.00368871166667,NaN,31.5513297233333,400,399.986281286667,25,31.8195969933333,9.657426535,56.3077773083333,49.998158665,401.930597255,399.254394256667,398.766949136667,6883.34509604333,12.6801727783333,12.13410724,65.30042704,89.2644242283333,33.5438369266666,22.7802053233333,89.4736579466668,67.1235228483334,109.074232791667,0.757428610308275,480.263500305001,529.923200929849,2.15473073541708,0.0329418348007366,1.24148879954908,12.4816887332021,595.604118101821,2.20386803552601,0.0138666197169718,1.32403745035518,55.9110454053597,577.056027865931,97.6148223677004,0.012839252152202,1.40296237618183,3,3.01684842788313,65.6809171719713,47.132826936082,0.0491373001089342,0.717611240124882,5862.857238232,0.87638430079014,0.871642424078271,0.288966527986855,0.295734919661293,1.52975651353338,1.71936098958268,0.0012490215816388,0.00577886659776364,0.032240227699172,0.00600427626684209,52.024,78.11,57.82,424
13,12.9510387433333,39,38.866098995,25.520001891667,25.221888765,113.891431105,NaN,1.00406452333333,NaN,32.3628713966667,400,400.001608905,25,32.60609498,9.60487134500001,60.2203512916667,50.016026825,402.11020175,399.180965895,398.727249156667,7422.61332929167,13.3691233266667,12.8013161216667,68.8363101033334,97.0214634383334,36.1509929233333,25.6808163266667,97.2454923016665,73.0036371266667,111.903831646667,0.745788166870674,531.115254359999,530.187775881261,2.14455127107291,0.0302103454868296,1.27271419895845,15.3868713265714,595.058842112989,2.19232841351036,0.0127293792480521,1.35715509405398,59.4568145846777,576.883141391452,100.871091036752,0.0117959596015659,1.44205443876158,3,3.00103803212137,64.8710662317275,46.6953655101905,0.0477771424374543,0.719820840336219,6293.83381772968,0.873580707372738,0.87985970978646,0.289042227976371,0.296069424283392,1.53052027563048,1.71778691338801,0.00126156204825185,0.00528847755598222,0.0326503068322741,0.00603673597939239,52.024,78.11,57.82,424
14,13.9347136133333,42,41.9042401183333,28.1380000000003,27.8247285816667,117.408845828333,NaN,1.004300955,NaN,32.8515945466666,400,400.001654776667,25,33.342763225,9.52661488833333,64.3322419266667,50.0046323783333,402.063245903334,399.122792821666,398.757476506667,7996.00896814334,14.1249561766667,13.49560656,70.5121332,103.796140338333,38.3701224899999,28.5630225783333,104.039620323333,78.94022481,115.588844085,0.675022002955278,527.480635976667,530.544579497411,2.13619447486289,0.0280268571779975,1.30030458398094,17.9703194078553,595.700736270818,2.18441346158,0.0117822647200159,1.38628425070824,62.9034460772692,577.186138801446,104.448198117557,0.0108991855674267,1.47868857883662,3,3.00723090761274,65.1561567734071,46.6415593040356,0.0482189867171106,0.71585281098618,6762.90126765121,0.867000761437087,0.883828411381688,0.28912187634443,0.296527071356296,1.53155027894964,1.71963990221207,0.00127505230055846,0.00492442918356478,0.0324893625979378,0.00601379495688194,52.024,78.11,57.82,424
6,6.02113314833334,21,20.9749659183333,0.849699974060059,0.758531598349412,103.003371588333,NaN,1.00799397333333,NaN,27.8574945033333,400,399.997926045,25,28.3673382433334,9.16185527500001,32.2102417633334,49.9982665033333,401.651689233332,399.413364966667,398.910146925,4216.34897299499,9.699865095,9.20951169833334,22.63968827,44.1919327900001,18.1809577,0.428590888778369,44.3182502166667,38.753884235,99.1737907983334,0.0764532155336294,603.000252581667,524.147287408908,2.2283514724884,0.0647249885064765,1.06581176153372,-9.04843354516819,605.738859143036,2.30362089964777,0.025337061009819,1.14358314051116,33.2942372011836,578.328031854061,79.448263166987,0.0228168694841796,1.19231146780775,3.5,3.48358560351074,81.5915717341293,54.1807444451541,0.0752694271593744,0.664060592266317,3605.60763181316,0.852526383387743,0.786103752957477,0.288675474575053,0.294737064764453,1.51308288740272,1.74861746692424,0.00134023161998642,0.0130324995155587,0.0256917890262887,0.00526511490962702,52.024,78.11,57.82,424
7,7.01742848166666,24.5,24.4455277216667,5.40749999999994,5.43226397666667,107.546596173333,NaN,1.00854087,NaN,28.0248286183333,400,399.998123856667,25,28.885068905,9.24419893,40.8260615466666,49.9942204500001,401.874847186667,399.239375546668,398.870500413333,4801.09130945,10.3172561933333,9.79462709833333,22.8381840033333,51.48321182,20.4563066966667,5.78467618499999,51.5937204400001,44.9199063983334,104.273548276667,0.0379261334339599,631.848990861666,525.764940385237,2.2125556257162,0.0557781630960471,1.09717638955563,-4.51774752116215,606.448505818636,2.28403313577922,0.0216531166228266,1.17893481671716,39.4383034309821,580.035691383526,85.5935397607542,0.0195605294496356,1.2360232831508,3.5,3.48355833104858,80.6835654333991,54.2707509982892,0.0714775100630168,0.672646396897277,4153.85801653605,0.855911260386421,0.804103471541246,0.288692185738158,0.295277462238307,1.51775264930942,1.75066604042018,0.00129405220640364,0.0111820053558523,0.0261083169255103,0.00532749581038959,52.024,78.11,57.82,424
8,8.02645854833334,28,27.976776255,9.49390000000008,9.41221875666666,111.432476456667,NaN,1.008105455,NaN,28.2782802566667,400,400.001449178333,25,29.535494765,9.257612565,46.5217884,50.0066560416666,401.934574058333,399.158799981667,398.912392023333,5409.12190514168,10.97938256,10.4214763,23.9997975683333,58.9135968983333,22.9728366916666,10.0776270066667,59.03851459,51.35936179,108.73620797,0.430453981868014,655.304599450001,526.818468362874,2.1975529152453,0.0488324215507807,1.12963568221688,-0.403514472789588,606.499920582174,2.26555620993656,0.0188046309976826,1.21474544579307,45.0437695182056,581.055462921531,90.96278887428,0.0170347093291767,1.28018041872681,3.5,3.48561211722876,79.6814522193005,54.2369945586567,0.0680032946912568,0.68068181100724,4694.29928395076,0.857485989767795,0.82096208127719,0.288726327926486,0.295757351139911,1.52079392261686,1.75081446205802,0.00126894490489127,0.00978164136762707,0.0265331578857537,0.00538637026531453,52.024,78.11,57.82,424
9,9.00290922,31.5,31.4759910183333,13.2089999999999,13.0756167133333,115.031162436667,NaN,1.00843486333333,NaN,29.0304872716667,400,399.983791285,25,30.27540883,9.35763503499999,52.1447423166667,50.0204449683334,401.78204223,399.298917746666,398.890223173333,6027.36770672333,11.6414279366667,11.0953873683333,36.1364932033333,66.0941387616667,25.465513225,13.7469363816667,66.2497710716666,57.9179015583332,112.685904511667,0.312349119134835,668.541651091667,527.817397018806,2.18523492349188,0.0435926697873765,1.15872144041423,3.21901931005685,606.410391984286,2.24932695220876,0.0166102216308344,1.24973767155445,50.0877251366841,582.148638078416,96.0946742219255,0.0151040641198662,1.32146965673204,3.5,3.49630322243734,78.5929949654795,54.3312410596097,0.0640920287168868,0.691302970734126,5194.48410069453,0.858741368696502,0.837712908636736,0.288773882399677,0.296216267530204,1.52367758125888,1.75055601525757,0.00125312952554234,0.00874589842710241,0.0270212509425865,0.0054451467862121,52.024,78.11,57.82,424
5,5.00483393166667,20,20.12182004,-4.33099999999999,-4.47847790833333,108.556485755,NaN,1.00729208666667,NaN,29.1209062333333,400,399.990176958333,25,30.01223987,8.97197147833332,29.5386084483333,49.9960720133334,401.255298451666,399.747613475001,398.984369678333,4041.37729940667,9.45706876833333,9.02804124166666,38.3572122466667,36.3371822833334,16.4566127083333,-8.19495078833333,36.4597943783333,37.1713008116667,103.589418011667,0.186113101324687,174.839793531667,522.301753184967,2.24803851447928,0.0774437684617187,1.03062597115435,-14.3042369436762,613.145525884446,2.32907652072754,0.0271433534102729,1.12913545569908,31.6663767229825,583.28808197245,82.466477397621,0.0243182002406502,1.16798675686306,4,4.02045978287706,90.8437726994779,60.9863287874825,0.0810380062482617,0.671341638870257,3300.88110826924,0.838695472752016,0.78255244317794,0.288686741991413,0.295400709631755,1.50775528899777,1.769998672109,0.00141146966534443,0.0179230807756542,0.0233330141076665,0.00498734927245098,52.024,78.11,57.82,424
6,6.03762652666667,24,24.0416495016666,0.849699974060059,0.857203203409901,113.454088635,NaN,1.01067774166667,NaN,29.4162519016666,400,400.020508521666,25,29.9092890033334,9.04563153,38.04303254,50.0081399566666,401.727859368333,399.315234225,399.019883026667,4706.43631595833,10.19127567,9.65015343666667,44.4055058116667,43.5872106016667,18.5285888583333,-1.14346900262474,43.714298015,44.3760736466667,108.896181975,0.523684394160907,150.515243761667,524.194407956615,2.22813427635983,0.0645600707173349,1.06624204364198,-8.96898732250592,613.888043505631,2.30575429195183,0.0226140695510339,1.16657049821828,38.7587838650664,584.846095131839,88.9894289170366,0.0203014843990273,1.21644163568161,4,3.98204103246054,89.6936355490165,60.6516871752237,0.0776200155919992,0.676227559908467,3909.37788909801,0.838712385859091,0.799598951252375,0.288675600953491,0.296013517295282,1.51321891270724,1.77214213585135,0.0013390288854976,0.0147234812378286,0.0237214303026267,0.0050503057724889,52.024,78.11,57.82,424
