REPORT START/STOP
Start Time,10/06/2021,11:27:57
End Time,10/06/2021,11:28:14

Program,R290_pi_2.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
Date;Time,CPU.Current Ph1.Process_value,CPU.Current Ph2.Process_value,AE1.TC1.Process_value,AE1.TC2.Process_value,AE1.TC3.Process_value,AE1.TC4.Process_value,AE2.TC5.Process_value,CPU.Oil temp.Process_value
10/06/2021;11:27:57,0,0,62.78207,58.381939,58.86792,71.482727,27.932486,39.227085
10/06/2021;11:27:58,0,0,62.620747,58.403297,58.836414,71.451515,27.851126,39.203529
10/06/2021;11:27:59,0,0,62.641609,58.439495,58.827641,71.446198,27.718243,39.20351
10/06/2021;11:28:00,0,0,62.630909,58.435619,58.728313,71.45507,27.631615,39.20351
10/06/2021;11:28:01,0,0,62.568253,58.427326,58.680866,71.417107,27.496605,39.191936
10/06/2021;11:28:02,0,0,62.523552,58.377495,58.717072,71.4067,27.395794,39.205154
10/06/2021;11:28:03,0,0,62.464523,58.30164,58.702911,71.390846,27.310471,39.205154
10/06/2021;11:28:04,0,0,62.43079,58.325516,58.626362,71.382523,27.200581,39.167671
10/06/2021;11:28:05,0,0,62.356716,58.308678,58.572292,71.368362,27.124599,39.153507
10/06/2021;11:28:06,0,0,62.287285,58.269264,58.579155,71.37236,27.057228,39.153507
10/06/2021;11:28:07,0,0,62.223511,58.205208,58.417053,71.348732,26.982449,39.156845
10/06/2021;11:28:08,0,0,62.201485,58.17979,58.444637,71.288811,26.925081,39.137985
10/06/2021;11:28:09,0,0,62.172131,58.212963,58.40007,71.278168,26.876743,39.137985
10/06/2021;11:28:10,0,0,62.14019,58.222942,58.337646,71.252251,26.805605,39.093357
10/06/2021;11:28:11,0,0,62.13382,58.231476,58.294548,71.236397,26.747881,39.093357
10/06/2021;11:28:12,0,0,62.0961,58.271626,58.278656,71.188072,26.681944,39.10379
10/06/2021;11:28:13,0,0,62.042759,58.305725,58.246246,71.069672,26.605818,39.083977
10/06/2021;11:28:14,0,0,62.023258,58.32346,58.215569,70.994072,26.565472,39.083977
10/06/2021;11:28:15,0,0,62.010384,58.335773,58.180901,71.005798,26.48592,39.055759

