REPORT START/STOP
Start Time,08/06/2021,08:16:59
End Time,08/06/2021,10:24:29

Program,R290_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;08:18:41,?,4.860122,?,7.950477,400,400.127533,25,23.985558
08/06/2021;08:18:42,?,4.856155,?,7.922771,400,400.069611,25,23.990406
08/06/2021;08:18:43,?,4.856155,?,7.909955,400,400.147003,25,23.996449
08/06/2021;08:18:44,?,4.85391,?,7.895713,400,400.337585,25,23.996452
08/06/2021;08:18:45,?,4.854517,?,7.884517,400,400.336792,25,23.978609
08/06/2021;08:18:46,?,4.848719,?,7.878645,400,400.324005,25,23.959641
08/06/2021;08:18:47,?,4.840139,?,7.832555,400,400.376038,25,23.957891
08/06/2021;08:18:48,?,4.832126,?,7.761643,400,400.372772,25,23.956091
08/06/2021;08:18:49,?,4.823982,?,7.683494,400,400.400574,25,23.962837
08/06/2021;08:18:50,?,4.810212,?,7.683494,400,400.400574,25,23.962837
08/06/2021;08:18:51,?,4.80002,?,7.613086,400,400.114929,25,23.968266
08/06/2021;08:18:52,?,4.793353,?,7.511163,400,399.862366,25,23.988571
08/06/2021;08:18:53,?,4.796453,?,7.43172,400,399.847229,25,24.011868
08/06/2021;08:18:54,?,4.796453,?,7.368082,400,399.730408,25,24.031446
08/06/2021;08:18:55,?,4.801056,?,7.321377,400,399.577026,25,24.052603
08/06/2021;08:18:56,?,4.787503,?,7.291002,400,399.470337,25,24.077719
08/06/2021;08:18:57,?,4.780901,?,7.265752,400,399.546051,25,24.113077
08/06/2021;08:18:58,?,4.784348,?,7.243453,400,399.613373,25,24.151234
08/06/2021;08:18:59,?,4.784192,?,7.241634,400,399.589172,25,24.183422
08/06/2021;08:19:00,?,4.778773,?,7.229871,400,399.541748,25,24.22905
08/06/2021;08:19:01,?,4.782264,?,7.183951,400,399.587341,25,24.304703
08/06/2021;08:19:02,?,4.779651,?,7.183951,400,399.587341,25,24.304703
08/06/2021;08:19:03,?,4.772742,?,7.156677,400,399.928406,25,24.393494
08/06/2021;08:19:04,?,4.772965,?,7.152222,400,400.098602,25,24.483652
08/06/2021;08:19:05,?,4.768716,?,7.184067,400,400.192566,25,24.585732
08/06/2021;08:19:06,?,4.766026,?,7.251772,400,400.27533,25,24.673296
08/06/2021;08:19:07,?,4.768912,?,7.310025,400,400.334167,25,24.749472
08/06/2021;08:19:08,?,4.769876,?,7.358627,400,400.34436,25,24.820341
08/06/2021;08:19:09,?,4.769876,?,7.396713,400,400.369263,25,24.908575
08/06/2021;08:19:10,?,4.776462,?,7.436128,400,400.297302,25,25.000618
