REPORT START/STOP
Start Time,08/06/2021,10:36:43
End Time,08/06/2021,10:45:46

Program,R290_pi_6
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;10:40:37,?,10.459338,?,28.336124,400,399.709839,25,31.493626
08/06/2021;10:40:38,?,10.444246,?,28.298233,400,399.763367,25,31.482567
08/06/2021;10:40:39,?,10.423262,?,28.266018,400,399.761627,25,31.472818
08/06/2021;10:40:40,?,10.419139,?,28.228264,400,399.88501,25,31.461618
08/06/2021;10:40:41,?,10.399143,?,28.182669,400,399.943146,25,31.45639
08/06/2021;10:40:42,?,10.388588,?,28.131403,400,399.946747,25,31.458704
08/06/2021;10:40:43,?,10.384491,?,28.099621,400,399.97467,25,31.46698
08/06/2021;10:40:44,?,10.384491,?,28.070314,400,400.020081,25,31.473705
08/06/2021;10:40:45,?,10.3832,?,28.070314,400,400.020081,25,31.473705
08/06/2021;10:40:46,?,10.372136,?,28.038191,400,400.030182,25,31.48543
08/06/2021;10:40:47,?,10.337327,?,27.985453,400,400.040192,25,31.50634
08/06/2021;10:40:48,?,10.327932,?,27.928362,400,399.978516,25,31.52305
08/06/2021;10:40:49,?,10.325672,?,27.887373,400,399.941071,25,31.53735
08/06/2021;10:40:50,?,10.305111,?,27.841883,400,399.895721,25,31.552067
08/06/2021;10:40:51,?,10.288897,?,27.796196,400,399.926514,25,31.565533
08/06/2021;10:40:52,?,10.283476,?,27.772406,400,399.96106,25,31.577412
08/06/2021;10:40:53,?,10.280849,?,27.735966,400,399.981506,25,31.596144
08/06/2021;10:40:54,?,10.280849,?,27.698162,400,399.878174,25,31.606543
08/06/2021;10:40:55,?,10.265767,?,27.666286,400,399.842468,25,31.600521
08/06/2021;10:40:56,?,10.254878,?,27.666286,400,399.842468,25,31.600521
08/06/2021;10:40:57,?,10.251434,?,27.628044,400,399.780914,25,31.597923
08/06/2021;10:40:58,?,10.227297,?,27.595192,400,399.987305,25,31.60321
08/06/2021;10:40:59,?,10.21832,?,27.57789,400,400.263184,25,31.609629
08/06/2021;10:41:00,?,10.219841,?,27.541353,400,400.422516,25,31.605816
08/06/2021;10:41:01,?,10.19386,?,27.500401,400,400.541504,25,31.592123
08/06/2021;10:41:02,?,10.172134,?,27.456556,400,400.612549,25,31.585064
08/06/2021;10:41:03,?,10.172134,?,27.412085,400,400.576385,25,31.586853
08/06/2021;10:41:04,?,10.174368,?,27.383089,400,400.488892,25,31.589191
08/06/2021;10:41:05,?,10.135938,?,27.383089,400,400.488892,25,31.589191
08/06/2021;10:41:06,?,10.122747,?,27.338125,400,400.259949,25,31.588018
08/06/2021;10:41:07,?,10.140909,?,27.295378,400,400.176392,25,31.595268
08/06/2021;10:41:08,?,10.143961,?,27.269413,400,400.253052,25,31.596409
08/06/2021;10:41:09,?,10.128103,?,27.229174,400,400.196167,25,31.596403
08/06/2021;10:41:10,?,10.098417,?,27.197956,400,400.085846,25,31.589756
08/06/2021;10:41:11,?,10.073278,?,27.17625,400,400.15686,25,31.587887
08/06/2021;10:41:12,?,10.064404,?,27.149139,400,400.097137,25,31.586025
08/06/2021;10:41:13,?,10.064404,?,27.112564,400,400.009094,25,31.582176
08/06/2021;10:41:14,?,10.074545,?,27.068422,400,399.968414,25,31.587372
08/06/2021;10:41:15,?,10.061831,?,27.018322,400,399.970947,25,31.595461
08/06/2021;10:41:16,?,10.038994,?,26.974159,400,399.929565,25,31.59572
08/06/2021;10:41:17,?,10.04509,?,26.974159,400,399.929565,25,31.59572
08/06/2021;10:41:18,?,10.02713,?,26.929293,400,399.900299,25,31.589539
08/06/2021;10:41:19,?,10.019324,?,26.880127,400,399.814545,25,31.573179
08/06/2021;10:41:20,?,10.008502,?,26.832607,400,399.795593,25,31.561485
08/06/2021;10:41:21,?,9.999505,?,26.805691,400,399.87915,25,31.557737
08/06/2021;10:41:22,?,10.004006,?,26.771975,400,399.858704,25,31.549667
08/06/2021;10:41:23,?,9.990893,?,26.725517,400,399.796509,25,31.53961
08/06/2021;10:41:24,?,9.978028,?,26.680622,400,399.737,25,31.53978
08/06/2021;10:41:25,?,9.971592,?,26.660448,400,399.733948,25,31.551838
08/06/2021;10:41:26,?,9.964495,?,26.646938,400,399.725372,25,31.573963
08/06/2021;10:41:27,?,9.964495,?,26.614182,400,399.657227,25,31.596319
08/06/2021;10:41:28,?,9.955908,?,26.580582,400,399.752869,25,31.61112
08/06/2021;10:41:29,?,9.955317,?,26.536139,400,399.872589,25,31.631826
08/06/2021;10:41:30,?,9.94228,?,26.506863,400,399.776367,25,31.65774
08/06/2021;10:41:31,?,9.959303,?,26.506863,400,399.776367,25,31.65774
08/06/2021;10:41:32,?,10.070751,?,26.479671,400,399.648468,25,31.670544
08/06/2021;10:41:33,?,10.085985,?,26.452339,400,399.865662,25,31.669313
08/06/2021;10:41:34,?,10.080873,?,26.434347,400,400.025055,25,31.677792
08/06/2021;10:41:35,?,10.156064,?,26.404905,400,400.161682,25,31.697104
08/06/2021;10:41:36,?,10.274401,?,26.388184,400,400.124939,25,31.703205
08/06/2021;10:41:37,?,10.28702,?,26.366961,400,400.091858,25,31.704308
08/06/2021;10:41:38,?,10.148462,?,26.35828,400,400.045135,25,31.709602
08/06/2021;10:41:39,?,10.148462,?,26.36989,400,399.950684,25,31.710787
08/06/2021;10:41:40,?,10.040464,?,26.3729,400,399.984528,25,31.706694
08/06/2021;10:41:41,?,10.002691,?,26.359032,400,400.056305,25,31.702227
08/06/2021;10:41:42,?,9.999503,?,26.328449,400,400.106995,25,31.699421
08/06/2021;10:41:43,?,9.985122,?,26.288965,400,400.009003,25,31.700716
